engine_id,engine_name,engine_platforms,engines_companies
1230,Giants,undefined,undefined
1228,FOnline,undefined,undefined
1231,Taito F3 System,undefined,undefined
940,Sega NAOMI,52;,112;
1283,Adobe Animate,undefined,undefined
1244,Dreamatrix,undefined,undefined
1242,WonderWitch,undefined,undefined
491,Frostbite 3,6;,94;
213,Java,undefined,undefined
620,Gdevelop5,undefined,undefined
156,Clickteam Fusion,undefined,undefined
95,Creation Engine,6;9;12;48;49;,126;
1284,Motorola M6502,undefined,undefined
1297,ZGB engine,undefined,undefined
412,Decima,48;,170;1843;
418,Mercury Steam Engine,undefined,undefined
704,RPG Maker VX,undefined,undefined
334,RPG Maker XP,undefined,undefined
1301,Tiled,undefined,undefined
53,SCUMM,6;13;14;15;16;18;50;63;75;78;86;,9;
63,Adobe AIR,undefined,undefined
667,Unreal,6;,17463;
744,Unity 3d,undefined,undefined
1317,Doomsday,undefined,undefined
507,Godot Engine,undefined,undefined
876,Ren'Py,undefined,undefined
843,unreal 4,undefined,undefined
838,Unreal 2.5,undefined,undefined
1329,FTE QuakeWorld,undefined,undefined
421,Amazon Lumberyard,6;34;39;48;49;,9728;
1222,Neo Geo MVS,undefined,undefined
56,id Tech 3,3;6;8;11;14;23;,184;
1351,TPS Reality,undefined,undefined
1264,https://www.twitch.tv/directory/game/Twitch%20Sings,undefined,undefined
1268,Steambox,undefined,undefined
837,Bitsy,undefined,undefined
1239,unity engine,undefined,undefined
99,Ego Engine,6;9;12;,115;
1290,Proprietry in house engine,undefined,undefined
1300,Nirvana Engine,undefined,undefined
216,Real Live,undefined,undefined
443,fps creator classic,undefined,undefined
814,Luca System,undefined,undefined
1271,Gen Xenotime 3D,undefined,undefined
41,RenderWare,5;6;8;9;11;12;14;21;38;,undefined
696,RPG Maker 2000,undefined,undefined
54,Gamebryo,undefined,3997;3998;
318,Silk Engine,6;9;12;48;49;,405;
880,Alicesoft System,undefined,undefined
2,Frostbite,6;9;12;48;49;,94;
1145,Unity 2020,undefined,undefined
1306,Open Sauce,undefined,undefined
305,RPG Maker,undefined,2165;
601,Unity 2018,3;6;14;37;46;48;49;74;82;130;137;162;163;165;,3067;
64,Adobe Flash Player,82;,7246;
89,PhysX,3;5;6;9;12;34;48;49;,1630;
394,renpy,undefined,undefined
118,Dunia Engine,6;9;12;48;49;,38;
763,GZDoom,undefined,undefined
1339,QUANTUM ENGINE,undefined,undefined
411,Game Maker Studio,undefined,undefined
1272,Rpgmaker,undefined,undefined
464,Visual Studio,undefined,undefined
1360,Mosi,undefined,undefined
200,Evolution,6;9;12;14;48;49;,17;
302,JavaScript,undefined,undefined
1345,GDevelop,undefined,undefined
532,GameMaker Studio 2,undefined,6932;
448,RPG Maker MV,undefined,undefined
695,KEX,3;6;14;49;130;,13169;
97,id Tech 2,3;4;6;7;14;,184;
754,Ubisoft Anvil,6;9;12;41;46;48;49;130;167;169;170;,38;
404,Unity 4,3;5;6;9;12;14;34;37;39;41;46;48;49;74;137;,3067;
380,C++,undefined,undefined
1316,VN Maker,undefined,undefined
1182,GameMaker Studio,undefined,undefined
1332,UFE (Universal Fighting Engine),undefined,undefined
750,Unity 2019,undefined,undefined
6,Unreal Engine,3;5;6;8;9;11;12;14;39;,168;
1318,Shards,undefined,undefined
1217,RPG Maker Dante 98 II,undefined,undefined
982,Unreal Engine 5,undefined,undefined
1341,Sword of Moonlight,undefined,undefined
195,Dawn Engine,undefined,undefined
26,RAGE,5;6;9;12;14;48;49;203;,364;
495,C#,undefined,undefined
590,J2ME,55;,1506;
1346,DECO Cassette System,undefined,undefined
1321,shockwave,undefined,undefined
13,Unity,3;5;6;9;12;14;34;39;41;46;48;49;74;82;,3067;
577,Construct 3,undefined,undefined
1363,Storyspace,undefined,undefined
104,MonoGame,3;6;14;34;39;46;48;49;130;,4835;
3,Source,3;6;9;11;12;14;34;,56;
102,Virtools Engine,6;8;11;,4286;
212,Luminous Studio,undefined,26;
29,Fox Engine,6;9;12;48;49;,170;
79,GameMaker: Studio,3;6;9;14;34;39;46;48;49;74;,6932;
1051,Super Mario 64 Engine,undefined,undefined
470,GameGuru,undefined,undefined
765,RPG Maker 2003,undefined,undefined
